incident,date-time,year,date-no year,location,res hall,alcohol
,4/26/16 0:00,2016,04/26,PITTSBORO ST / W CAMERON AVE,NA,
,4/26/16 0:00,2016,04/26,EHRINGHAUS PARKING LOT UNC,NA,
,4/26/16 0:00,2016,04/26,COUNTRY CLUB RD/PAUL GREEN THEATER DR,NA,
,4/26/16 0:00,2016,04/26,HOSPITAL DR// VALET LOT,NA,
,4/26/16 0:00,2016,04/26,RIDGE RD / BOSHAMER,NA,
,4/26/16 0:00,2016,04/26,HANES LOT,NA,
WELL-BEING CHECK,4/26/16 11:58,2016,04/26,HOUSE LIBRARY R B UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),4/26/16 20:38,2016,04/26,HOSPITALS UNIV OF NC UNC,NA,
EMS ASSIST,4/26/16 7:52,2016,04/26,GRANVILLE TOWERS,GRANVILLE,
,4/26/17 0:00,2017,04/26,CAROLINA INN UNC,NA,
,4/26/17 0:00,2017,04/26,S COLUMBIA ST/MCCAULEY ST,NA,
EMS ASSIST,4/26/17 11:23,2017,04/26,HOUSE LIBRARY R B UNC,NA,
FOUND PROPERTY,4/26/17 13:29,2017,04/26,BINGHAM HALL UNC,NA,
LARCENY - FROM BUILDING,4/26/17 13:30,2017,04/26,RAMS HEAD RECREATION UNC,NA,
LOST PROPERTY,4/26/17 14:14,2017,04/26,PUBLIC SAFETY BUILDING UNC,NA,
FOUND PROPERTY,4/26/17 14:57,2017,04/26,PUBLIC SAFETY BUILDING UNC,NA,
B&E NON-FORCED ENTRY,4/26/17 15:48,2017,04/26,GRANVILLE TOWERS,GRANVILLE,
EMS ASSIST,4/26/17 19:36,2017,04/26,BIOINFORMATICS BLDG UNC,NA,
EMS ASSIST,4/26/17 3:17,2017,04/26,STACY RES HALL UNC,RES HALL,
FOUND PROPERTY,4/26/18 14:06,2018,04/26,ALUMNI HALL UNC,NA,
PIPE DAMAGE,4/26/18 16:27,2018,04/26,MARSICO HALL UNC,NA,
,4/27/13 0:00,2013,04/27,SITTERSON COMP SCI CTR UNC,NA,
,4/27/13 0:00,2013,04/27,PHY PLANT MAINT UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,4/27/13 3:01,2013,04/27,MORRISON RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
VANDALISM - DAMAGE TO REAL PROPERTY,4/27/13 7:35,2013,04/27,BYNUM CIRCLE PARKING LOT UNC,NA,
VANDALISM - DAMAGE TO REAL PROPERTY,4/27/13 9:32,2013,04/27,PAUL GREEN THEATRE UNC,NA,
ASSIST OTHER AGENCY,4/27/14 0:00,2014,04/27,CHAPEL HILL / CARRBORO,NA,
HARASSMENT / CYBERSTALKING,4/27/15 0:00,2015,04/27,PITTSBORO ST 210 UNC,NA,
,4/27/15 0:00,2015,04/27,MANNING DR / HIBBARD DR,NA,
,4/27/15 0:00,2015,04/27,GENERAL ADMINISTRATION UNC,NA,
,4/27/15 0:00,2015,04/27,MANNING DR / RIDGE RD,NA,
SEX OFFENSE - INDECENT EXPOSURE,4/27/15 1:08,2015,04/27,DAVIS WALTER R LIBRARY UNC,NA,
PROPERTY DAMAGE,4/27/15 14:57,2015,04/27,OLD MASON FARM RD/FINLEY GOLF COURSE RD,NA,
DAMAGE TO TRUCK,4/27/15 15:15,2015,04/27,MCLEAN HALL UNC,NA,
EMS ASSIST,4/27/15 16:02,2015,04/27,MOREHEAD PLANETARIUM UNC,NA,
VANDALISM / PROPERTY DAMAGE,4/27/15 18:30,2015,04/27,MANNING PARKING LOT UNC,NA,
EMS ASSIST,4/27/15 4:33,2015,04/27,CAROLINA INN UNC,NA,
LARCENY OF BICYCLE,4/27/15 9:09,2015,04/27,MURRAY HALL UNC,NA,
,4/27/16 0:00,2016,04/27,SWAIN LOT,NA,
,4/27/16 0:00,2016,04/27,SOUTH RD/COUNTRY CLUB RD,NA,
,4/27/16 0:00,2016,04/27,DOGWOOD PARKING DECK UNC,NA,
,4/27/16 0:00,2016,04/27,MANNING DR/S FORDHAM BLVD,NA,
WELL-BEING CHECK,4/27/16 0:19,2016,04/27,EHRINGHAUS RES HALL,RES HALL,
EMS ASSIST,4/27/16 11:46,2016,04/27,SITTERSON COMP SCI CTR UNC,NA,
OPEN CONTAINER OF ALCOHOL,4/27/16 15:00,2016,04/27,CHAPEL HILL,NA,OPEN CONTAINER OF ALCOHOL
EMS ASSIST,4/27/16 15:27,2016,04/27,KENAN CENTER UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,4/27/16 20:02,2016,04/27,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
ASSAULT ON FEMALE,4/27/16 20:32,2016,04/27,HIBBARD DR,NA,
WELL-BEING CHECK,4/27/16 8:16,2016,04/27,OLD WEST RES HALL UNC,RES HALL,
,4/27/17 0:00,2017,04/27,JACKSON CIRCLE PARKING DECK UNC,NA,
VANDALISM / PROPERTY DAMAGE,4/27/17 10:39,2017,04/27,HA I CARDINAL PARKING UNC,NA,
EMS ASSIST,4/27/17 11:57,2017,04/27,KENAN CENTER UNC,NA,
FOUND PROPERTY,4/27/17 12:30,2017,04/27,CHATHAM PARK AND RIDE,NA,
SEXUAL BATTERY,4/27/17 13:47,2017,04/27,DAVIS WALTER R LIBRARY UNC,NA,
VOLUNTARY COMMITMENT,4/27/17 16:41,2017,04/27,PUBLIC SAFETY BUILDING UNC,NA,
ASSIST OTHER AGENCY,4/27/17 16:49,2017,04/27,ODUM VILLAGE UNC,NA,
ASSIST OTHER AGENCY,4/27/17 18:42,2017,04/27,SOUTH COLUMBIA ST,NA,
FOUND PROPERTY,4/27/17 22:50,2017,04/27,RR LOT,NA,
EMS ASSIST,4/27/17 7:50,2017,04/27,CRAIGE RES HALL UNC,RES HALL,
EMS ASSIST,4/27/17 9:49,2017,04/27,SECU FAMILY HOUSE UNC,NA,
INFORMATIONAL,4/27/18 0:00,2018,04/27,ARENDELL  ST,NA,
EMS ASSIST,4/27/18 19:25,2018,04/27,DOGWOOD PARKING DECK UNC,NA,
DWI-ALCOHOL,4/27/18 2:12,2018,04/27,COUNTRY CLUB RD,NA,DWI-ALCOHOL
FOUND PROPERTY,4/27/18 20:19,2018,04/27,HANES ART CENTER UNC,NA,
EMS ASSIST,4/28/13 0:26,2013,04/28,BRANSON ST,NA,
EMS ASSIST - ALCOHOL,4/28/13 1:13,2013,04/28,RAMS VILLAGE,NA,EMS ASSIST - ALCOHOL
VANDALISM / PROPERTY DAMAGE,4/28/13 15:51,2013,04/28,EHRINGHAUS PARKING LOT UNC,NA,
EMS ASSIST,4/28/13 9:18,2013,04/28,FETZER FIELD UNC,NA,
,4/28/14 0:00,2014,04/28,EMERSON DR/LENOIR DR,NA,
,4/28/14 0:00,2014,04/28,CARR UNC,NA,
PANHANDLING,4/28/14 11:24,2014,04/28,GRAHAM STUDENT UNION UNC,NA,
LARCENY OF BICYCLE,4/28/14 8:28,2014,04/28,WILSON LIBRARY UNC,NA,
VANDALISM / PROPERTY DAMAGE,4/28/14 8:54,2014,04/28,SOUTH BLDG,NA,
DAYTIME CHECKPOINT (HOST),4/28/15 0:00,2015,04/28,PUREFOY// MASON FARM,NA,
HARASSMENT / CYBERSTALKING,4/28/15 0:00,2015,04/28,PUBLIC SAFETY BUILDING UNC,NA,
,4/28/15 0:00,2015,04/28,S11 BOWLES PARKING LOT UNC,NA,
,4/28/15 0:00,2015,04/28,EHRINGHAUS PARKING LOT UNC,NA,
,4/28/15 0:00,2015,04/28,S1 ENTRANCE GATE,NA,
DOMESTIC DISPUTE,4/28/15 12:30,2015,04/28,AMBULATORY CARE CENTER UNC,NA,
LOST / FOUND PROPERTY,4/28/15 16:55,2015,04/28,MCCOLL BUSINESS SCHOOL UNC,NA,
"MV THEFT - ALL OTHER (MOTORCYCLES, GOLF CARTS, MOPEDS, ETC)",4/28/15 17:25,2015,04/28,RAMS VILLAGE,NA,
SUSPICIOUS PERSON,4/28/15 7:44,2015,04/28,TATE TURNER KURALT BLDG UNC,NA,
,4/28/16 0:00,2016,04/28,E CAMERON AVE/S COLUMBIA ST,NA,
,4/28/16 0:00,2016,04/28,GRANVILLE TOWERS,GRANVILLE,
,4/28/16 0:00,2016,04/28,SOUTH CHILLER PLANT UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,4/28/16 0:56,2016,04/28,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
EMS ASSIST,4/28/16 1:04,2016,04/28,RAMS VILLAGE,NA,
ALCOHOL - UNDERAGE CONSUMPTION,4/28/16 1:16,2016,04/28,GRAHAM STUDENT UNION UNC,NA,ALCOHOL - UNDERAGE CONSUMPTION
SEX OFFENSE - PEEPING TOM,4/28/16 1:27,2016,04/28,MORRISON RES HALL UNC,RES HALL,
EMS ASSIST,4/28/16 12:28,2016,04/28,ENERGY SERVICES BLDG UNC,NA,
EMS ASSIST,4/28/16 12:44,2016,04/28,MANNING UNC,NA,
WEATHER DAMAGE,4/28/16 22:30,2016,04/28,PUBLIC SAFETY BUILDING UNC,NA,
CLERY REPORT STALKING AND DATING VIOLENCE,4/28/17 0:00,2017,04/28,PUBLIC SAFETY BUILDING UNC,NA,
,4/28/17 0:00,2017,04/28,AYCOCK FAMILY MEDICINE UNC,NA,
,4/28/17 0:00,2017,04/28,BRAUER UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,4/28/17 1:20,2017,04/28,AVERY RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
BELATED LARCENY,4/28/17 13:30,2017,04/28,S COLUMBIA ST,NA,
FOUND PROPERTY,4/28/17 15:30,2017,04/28,DOGWOOD PARKING DECK UNC,NA,
VOLUNTARY COMMITMENT,4/28/17 19:22,2017,04/28,CARMICHAEL RES HALL UNC,RES HALL,
ALCOHOL - UNDERAGE CONSUMPTION,4/28/17 19:59,2017,04/28,EHRINGHAUS RES HALL,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
ASSIST OTHER AGENCY,4/28/17 2:47,2017,04/28,HOSPITALS UNIV OF NC UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,4/28/17 20:18,2017,04/28,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
LARCENY-ALL OTHER,4/28/17 21:01,2017,04/28,BOSHAMER STADIUM UNC,NA,
FOUND PROPERTY,4/28/17 21:48,2017,04/28,HILL HALL UNC,NA,
PROPERTY DAMAGE,4/28/17 22:37,2017,04/28,CARMICHAEL RES HALL UNC,RES HALL,
FOUND PROPERTY,4/28/17 4:18,2017,04/28,PUBLIC SAFETY BUILDING UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,4/28/18 0:00,2018,04/28,EHRINGHAUS RES HALL,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
ALCOHOL - UNDERAGE CONSUMPTION,4/28/18 0:16,2018,04/28,HORTON RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
ALCOHOL - UNDERAGE CONSUMPTION,4/28/18 1:35,2018,04/28,EHRINGHAUS RES HALL,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
EMS ASSIST,4/28/18 12:19,2018,04/28,FRIDAY CENTER UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,4/28/18 15:58,2018,04/28,ACKLAND ART UNC,NA,ALCOHOL - UNDERAGE CONSUMPTION
FOUND PROPERTY,4/28/18 16:42,2018,04/28,PUBLIC SAFETY BUILDING UNC,NA,
SIMPLE POSSESSION OF MARIJUANA,4/28/18 2:04,2018,04/28,HINTON JAMES RES HALL UNC,RES HALL,
FOUND PROPERTY,4/28/18 21:39,2018,04/28,DOGWOOD PARKING DECK UNC,NA,
,4/29/13 0:00,2013,04/29,RAMS VILLAGE,NA,
EMS ASSIST,4/29/13 11:35,2013,04/29,GRANVILLE TOWERS,GRANVILLE,
ASSIST CHFD,4/29/13 13:24,2013,04/29,DAVIS WALTER R LIBRARY UNC,NA,
ASSAULT - ALL OTHER SIMPLE ASSAULT,4/29/13 16:17,2013,04/29,CLELAND FIELDS UNC,NA,
PHYSICAL ASSAULT W/ SEXUAL MOTIVES,4/29/13 16:37,2013,04/29,LEWIS RES HALL UNC,RES HALL,
B & E,4/29/13 18:20,2013,04/29,RAMS VILLAGE,NA,
SECOND DEGREE TRESPASSING,4/29/13 18:49,2013,04/29,GRAHAM STUDENT UNION UNC,NA,
VANDALISM / PROPERTY DAMAGE,4/29/13 21:10,2013,04/29,HANES HALL/CAMPUS Y,NA,
VANDALISM / PROPERTY DAMAGE,4/29/13 21:58,2013,04/29,DEY UNC,NA,
SIMPLE ASSAULT,4/29/14 10:02,2014,04/29,CRAIGE RES HALL UNC,RES HALL,
EMS ASSIST,4/29/14 15:39,2014,04/29,AYCOCK FAMILY MEDICINE UNC,NA,
EMS ASSIST,4/29/14 17:19,2014,04/29,STUDENT RECREATION CENTER UNC,NA,
EMS ASSIST,4/29/14 8:19,2014,04/29,HARDIN RES HALL UNC,RES HALL,
ASSIST OTHER AGENCY,4/29/14 8:25,2014,04/29,COBB RES HALL UNC,RES HALL,
BIKE LARCENY FROM BUILDING,4/29/14 8:57,2014,04/29,NEW WEST UNC,NA,
ASSIST FIRE DEPARTMENT,4/29/14 9:26,2014,04/29,PHILLIPS UNC,NA,
INFORMATIONAL,4/29/15 0:00,2015,04/29,PUBLIC SAFETY BUILDING UNC,NA,
SATURATION PATROL,4/29/15 0:00,2015,04/29,MLKJR BLVD / TIMBER HOLLOW,NA,
,4/29/15 0:00,2015,04/29,UNDERGRAD PARKING LOT UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),4/29/15 0:09,2015,04/29,UNC HOUSE LIBRARY,NA,
PROPERTY DAMAGE,4/29/15 10:02,2015,04/29,CARMICHAEL ARENA UNC,NA,
ASSAULT ON FEMALE,4/29/15 12:04,2015,04/29,LENOIR UNC,NA,
"MV THEFT - ALL OTHER (MOTORCYCLES, GOLF CARTS, MOPEDS, ETC)",4/29/15 14:19,2015,04/29,RAMS VILLAGE,NA,
ASSAULT ON FEMALE,4/29/15 2:26,2015,04/29,UNC STUDENT UNION,NA,
EMS ASSIST,4/29/15 7:23,2015,04/29,COURT YARD CAFE,NA,
,4/29/16 0:00,2016,04/29,SITTERSON COMP SCI CTR UNC,NA,
,4/29/16 0:00,2016,04/29,KOURY ORAL HEALTH SCIENCES BLDG UNC,NA,
,4/29/16 0:00,2016,04/29,DOGWOOD PARKING DECK UNC,NA,
,4/29/16 0:00,2016,04/29,AMBULATORY CARE CENTER UNC,NA,
,4/29/16 0:00,2016,04/29,FEDEX GLOBAL EDUCATION UNC,NA,
EMS ASSIST,4/29/16 14:59,2016,04/29,GENOMIC SCIENCES RESEARCH UNC,NA,
VANDALISM / PROPERTY DAMAGE,4/29/16 18:44,2016,04/29,COUNTRY CLUB RD,NA,
EMS ASSIST,4/29/16 19:33,2016,04/29,RONALD MCDONALD HOUSE UNC,NA,
ASSIST OTHER AGENCY,4/29/16 22:41,2016,04/29,GRAHAM POLICE DEPARTMNET,NA,
INDECENT EXPOSURE,4/29/16 9:41,2016,04/29,MANNING DR / PAUL HARDIN DR,NA,
ALCOHOL - UNDERAGE CONSUMPTION,4/29/17 0:00,2017,04/29,CAROLINA INN UNC,NA,ALCOHOL - UNDERAGE CONSUMPTION
EMS ASSIST,4/29/17 0:00,2017,04/29,GRANVILLE TOWERS,GRANVILLE,
ALCOHOL - UNDERAGE CONSUMPTION,4/29/17 0:10,2017,04/29,AVERY DORM,NA,ALCOHOL - UNDERAGE CONSUMPTION
ALCOHOL - UNDERAGE CONSUMPTION,4/29/17 0:52,2017,04/29,HORTON RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
ALCOHOL - UNDERAGE CONSUMPTION,4/29/17 1:14,2017,04/29,CRAIGE RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
B & E,4/29/17 13:18,2017,04/29,GRANVILLE TOWERS,GRANVILLE,
PROPERTY DAMAGE,4/29/17 17:40,2017,04/29,GRANVILLE TOWERS,GRANVILLE,
EMS ASSIST,4/29/17 18:34,2017,04/29,JOYNER RES HALL UNC,RES HALL,
UNDERAGE DRINKING,4/29/17 2:21,2017,04/29,HORTON RES HALL UNC,RES HALL,
EMS ASSIST,4/29/17 20:14,2017,04/29,FINLEY CLUB HOUSE UNC,NA,
TRESPASSING,4/29/17 20:35,2017,04/29,CHAPMAN HALL UNC,NA,
LARCENY-ALL OTHER,4/29/17 7:27,2017,04/29,LENOIR UNC,NA,
POSSESSION OF MARIJUANA,4/29/18 0:14,2018,04/29,GRANVILLE TOWERS,GRANVILLE,
EMS ASSIST,4/29/18 14:12,2018,04/29,MANNING DR / HIBBARD DR,NA,
EMS ASSIST,4/29/18 16:30,2018,04/29,HILL ALUMNI CENTER UNC,NA,
VANDALISM / PROPERTY DAMAGE,4/29/18 17:02,2018,04/29,ACKLAND ART UNC,NA,
EMS ASSIST,4/29/18 17:17,2018,04/29,PAUL GREEN THEATRE UNC,NA,
ASSAULT - ALL OTHER SIMPLE ASSAULT,4/29/18 22:20,2018,04/29,POLK PLACE UNC,NA,
POSSESSION OF MARIJUANA,4/29/18 23:25,2018,04/29,CAMERON AVE ANNEX 21 UNC,NA,
,4/3/13 0:00,2013,04/03,MANNING DR/SKIPPER BOWLES DR,NA,
,4/3/13 0:00,2013,04/03,BOSHAMER PARKING LOT UNC,NA,
,4/3/13 0:00,2013,04/03,HOSPITALS UNIV OF NC UNC,NA,
VANDALISM - INJURY TO PERSONAL PROPERTY,4/3/13 22:27,2013,04/03,SWAIN UNC PVA,NA,
DRUGS - EQUIPMENT/PARAPHERNALIA,4/3/14 0:00,2014,04/03,MORRISON RES HALL UNC,RES HALL,
,4/3/14 0:00,2014,04/03,MANNING DR / EHRINGHAUS DR,NA,
,4/3/14 0:00,2014,04/03,PITTSBORO ST/S COLUMBIA ST,NA,
,4/3/14 0:00,2014,04/03,S COLUMBIA ST/MANNING DR,NA,
,4/3/14 0:00,2014,04/03,CARMICHAEL RES HALL UNC,RES HALL,
LARCENY OF 30 DAY TAG,4/3/14 11:55,2014,04/03,DOGWOOD PARKING DECK UNC,NA,
CALLS FOR SERVICE,4/3/14 13:52,2014,04/03,FETZER FIELD UNC,NA,
FRAUD - OBTAINING MONEY/PROPERTY BY FALSE PRETENSE,4/3/14 13:55,2014,04/03,WHITE OAK CT,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),4/3/14 14:59,2014,04/03,BATTLE HALL UNC,NA,
EMS ASSIST,4/3/14 15:33,2014,04/03,NROTC UNC,NA,
LARCENY - FROM MOTOR VEHICLE (B&E),4/3/14 7:50,2014,04/03,DOGWOOD PARKING DECK UNC,NA,
VANDALISM / PROPERTY DAMAGE,4/3/14 9:17,2014,04/03,BIOINFORMATICS BLDG UNC,NA,
ASSIST AGENCY (TOWN OF CHAPEL HILL POLICE DEPARTMENT),4/3/15 23:21,2015,04/03,E FRANKLIN ST,NA,
EMS ASSIST,4/3/15 3:50,2015,04/03,HINTON JAMES RES HALL UNC,RES HALL,
,4/3/16 0:00,2016,04/03,ANDERSON STADIUM UNC,NA,
,4/3/16 0:00,2016,04/03,HOUSE LIBRARY R B UNC,NA,
,4/3/16 0:00,2016,04/03,GRANVILLE TOWERS,GRANVILLE,
VOLUNTARY COMMITMENT,4/3/16 19:17,2016,04/03,CRAIG DORM,NA,
ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION,4/3/16 3:43,2016,04/03,PARKER RES HALL UNC,RES HALL,ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION
,4/3/17 0:00,2017,04/03,HA I CARDINAL PARKING UNC,NA,
,4/3/17 0:00,2017,04/03,MANNING DR / RIDGE RD,NA,
,4/3/17 0:00,2017,04/03,CRAIGE PARKING DECK UNC,NA,
,4/3/17 0:00,2017,04/03,RIDGE RD / BOSHAMER,NA,
,4/3/17 0:00,2017,04/03,S11 BOWLES PARKING LOT UNC,NA,
EMS ASSIST,4/3/17 17:24,2017,04/03,MEADOWMONT (DUBOSE) UNC,NA,
EMS ASSIST,4/3/17 21:37,2017,04/03,LENOIR UNC,NA,
INFORMATIONAL,4/3/17 7:35,2017,04/03,CAUDILL LABS UNC,NA,
LARCENY - FROM BUILDING,4/3/17 9:26,2017,04/03,LENOIR UNC,NA,
LARCENY - FROM BUILDING,4/3/18 10:19,2018,04/03,MCCOLL BUSINESS SCHOOL UNC,NA,
FOUND PROPERTY,4/3/18 13:33,2018,04/03,WILLIAMSON DR,NA,
FOUND PROPERTY,4/3/18 8:25,2018,04/03,RIDGE RD,NA,
,4/30/13 0:00,2013,04/30,BUSINESS SCHOOL PARKING UNC,NA,
,4/30/13 0:00,2013,04/30,PUBLIC SAFETY BUILDING UNC,NA,
EMS ASSIST,4/30/13 11:02,2013,04/30,STADIUM DRIVE PARKING LOT UNC,NA,
SOLICITING WITHOUT PERMIT (CITY ORDINANCE),4/30/13 15:01,2013,04/30,JACKSON HALL UNC,NA,
MISDEMEANOR LARCENY,4/30/13 15:18,2013,04/30,UNC HOSPITALS VALET PARKING,NA,
VANDALISM / PROPERTY DAMAGE,4/30/13 2:59,2013,04/30,HANES ART CENTER UNC,NA,
CALLS FOR SERVICE,4/30/14 0:00,2014,04/30,PUBLIC SAFETY BUILDING UNC,NA,
DRUGS - ALL OTHER VIOLATIONS,4/30/14 0:00,2014,04/30,JONES MARY ELLEN UNC,NA,
INFORMATIONAL,4/30/14 0:00,2014,04/30,AYCOCK RES HALL UNC,RES HALL,
,4/30/14 0:00,2014,04/30,CHILDREN HOSPITAL,NA,
,4/30/14 0:00,2014,04/30,DOGWOOD PARKING DECK UNC,NA,
,4/30/14 0:00,2014,04/30,JOYNER RES HALL UNC,RES HALL,
EMS ASSIST,4/30/14 10:25,2014,04/30,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
INFORMATION (VERBAL DISTURBANCE),4/30/14 17:24,2014,04/30,CRAIGE PARKING LOT UNC,NA,
EMS ASSIST,4/30/14 5:00,2014,04/30,SPENCER RES HALL UNC,RES HALL,
EMS ASSIST,4/30/14 9:25,2014,04/30,GRANVILLE TOWERS,GRANVILLE,
,4/30/15 0:00,2015,04/30,JACKSON CIRCLE PARKING DECK UNC,NA,
,4/30/15 0:00,2015,04/30,BOWLES PARKING LOT UNC,NA,
,4/30/15 0:00,2015,04/30,PUBLIC SAFETY BUILDING UNC,NA,
,4/30/15 0:00,2015,04/30,CHATHAM COUNTY FIRING RANGE,NA,
,4/30/15 0:00,2015,04/30,PUBLIC SAFETY BUILDING UNC,NA,
EMS ASSIST,4/30/15 13:22,2015,04/30,HEALTH SCIENCES LIBRARY UNC,NA,
SECOND DEGREE TRESPASSING,4/30/15 14:16,2015,04/30,HANES ART CENTER UNC,NA,
WELL-BEING CHECK,4/30/15 16:15,2015,04/30,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
LARCENY OF BICYCLE,4/30/15 17:19,2015,04/30,GREENLAW UNC,NA,
EMS ASSIST,4/30/15 21:44,2015,04/30,HINTON JAMES RES HALL UNC,RES HALL,
EMS ASSIST,4/30/15 8:58,2015,04/30,COGENERATION FACILITY UNC,NA,
,4/30/16 0:00,2016,04/30,HIBBARD,NA,
VANDALISM / PROPERTY DAMAGE,4/30/16 17:30,2016,04/30,PAUL GREEN THEATRE UNC,NA,
ASSAULT-PHYSICAL (NON-AGGRAVATED),4/30/16 19:18,2016,04/30,HIBBARD DR,NA,
VANDALISM / PROPERTY DAMAGE,4/30/16 19:59,2016,04/30,CRAIGE RES HALL UNC,RES HALL,
SUSPICIOUS CONDITION (NON-CRIMINAL),4/30/16 21:27,2016,04/30,MORRISON RES HALL UNC,RES HALL,
DRUGS - EQUIPMENT/PARAPHERNALIA,4/30/16 23:15,2016,04/30,ARBORETUM UNC,NA,
EMS ASSIST,4/30/16 7:03,2016,04/30,HOUSE LIBRARY R B UNC,NA,
,4/30/17 0:00,2017,04/30,CARMICHAEL RES HALL UNC,RES HALL,
TRESPASSING,4/30/17 0:45,2017,04/30,KENAN STADIUM UNC,NA,
EMS ASSIST,4/30/17 1:21,2017,04/30,HINTON JAMES RES HALL UNC,RES HALL,
SUSPICIOUS PERSON,4/30/17 12:41,2017,04/30,ARBORETUM UNC,NA,
EMS ASSIST,4/30/17 4:10,2017,04/30,SECU FAMILY HOUSE UNC,NA,
FOUND PROPERTY,4/30/17 9:01,2017,04/30,PERSON UNC,NA,
VANDALISM / PROPERTY DAMAGE,4/30/18 0:00,2018,04/30,MCCORKLE PLACE UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),4/30/18 10:41,2018,04/30,OLD DENTAL BUILDING UNC,NA,
PROPERTY DAMAGE,4/30/18 12:32,2018,04/30,CRAIGE PARKING DECK UNC,NA,
EMS ASSIST,4/30/18 15:53,2018,04/30,TEAGUE RES HALL UNC,RES HALL,
EMS ASSIST,4/30/18 18:05,2018,04/30,EHRINGHAUS RES HALL,RES HALL,
FOUND PROPERTY,4/30/18 3:48,2018,04/30,DOGWOOD PARKING DECK UNC,NA,
CALLS FOR SERVICE,4/4/13 1:07,2013,04/04,PEABODY UNC,NA,
EMS ASSIST,4/4/13 13:09,2013,04/04,BRAUER UNC,NA,
VERBAL DISTURBANCE,4/4/13 13:38,2013,04/04,MOREHEAD PLANETARIUM UNC,NA,
,4/4/14 0:00,2014,04/04,COBB PARKING DECK UNC,NA,
,4/4/14 0:00,2014,04/04,MASON FARM ROAD 1301 UNC,NA,
,4/4/14 0:00,2014,04/04,HOUSE LIBRARY R B UNC,NA,
EMS ASSIST,4/4/14 1:42,2014,04/04,CAROLINA INN UNC,NA,
FRAUD - WIRE/COMPUTER/OTHER ELECTRONIC,4/4/14 14:01,2014,04/04,PUBLIC SAFETY BUILDING UNC,NA,
ASSIST CITIZEN,4/4/14 15:03,2014,04/04,MCCOLL BUSINESS SCHOOL UNC,NA,
LARCENY OF BIKE TIRE,4/4/14 16:13,2014,04/04,CARRINGTON HALL UNC,NA,
LOST CELL PHONE,4/4/14 17:26,2014,04/04,HOUSE LIBRARY R B UNC,NA,
ASSAULT-PHYSICAL (NON-AGGRAVATED),4/4/14 22:26,2014,04/04,STADIUM DR,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),4/4/14 3:12,2014,04/04,RR ESTES DR PARKING LOT UNC,NA,
EMS ASSIST,4/4/14 3:30,2014,04/04,CRAIGE NORTH RES HALL UNC,RES HALL,
WARNING OF TRESPASS,4/4/14 6:57,2014,04/04,GRAHAM STUDENT UNION UNC,NA,
,4/4/15 0:00,2015,04/04,PUBLIC SAFETY BUILDING UNC,NA,
,4/4/15 0:00,2015,04/04,STADIUM DR/SOUTH RD,NA,
LARCENY - FROM BUILDING,4/4/15 13:41,2015,04/04,HANES UNC,NA,
VOLUNTARY COMMITMENT,4/4/15 17:41,2015,04/04,ERNIE WILLIAMSON UNC,NA,
POSSESSION OF SCHEDULE II,4/4/15 23:35,2015,04/04,MANNING DR,NA,
CLERY - ALLEGATION SEXUAL ASSAULT,4/4/16 0:00,2016,04/04,HOSPITALS UNIV OF NC UNC,NA,
CLERY ALLEGATION OF STALKING / HARASSMENT,4/4/16 0:00,2016,04/04,MED SCHOOL BLDG # 52 UNC,NA,
,4/4/16 0:00,2016,04/04,FRIDAY CENTER PARK AND RIDE,NA,
,4/4/16 0:00,2016,04/04,DOGWOOD PARKING DECK UNC,NA,
EMS ASSIST,4/4/16 14:43,2016,04/04,MACNIDER UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),4/4/16 15:44,2016,04/04,EHRINGHAUS TRAIL,NA,
